,POS,whole_word,root,affix
0,NOUN,remedios,remedio,s
1,NOUN,cierres,cierre,s
2,NOUN,gestores,gestor,es
3,NOUN,monopolios,monopolio,s
4,NOUN,retornos,retorno,s
5,NOUN,planteamientos,planteamiento,s
6,NOUN,plantillas,plantilla,s
7,NOUN,gestos,gesto,s
8,NOUN,trazados,trazado,s
9,NOUN,ciclistas,ciclista,s
10,NOUN,coincidencias,coincidencia,s
11,NOUN,arterias,arteria,s
12,NOUN,curiosos,curioso,s
13,NOUN,legítimas,legítima,s
14,NOUN,cancilleres,canciller,es
15,NOUN,árbitros,árbitro,s
16,NOUN,bloqueos,bloqueo,s
17,NOUN,aranceles,arancel,es
18,NOUN,televisores,televisor,es
19,NOUN,suscritos,suscrito,s
20,NOUN,cordilleras,cordillera,s
21,NOUN,naranjas,naranja,s
22,NOUN,consumos,consumo,s
23,NOUN,décimas,décima,s
24,NOUN,funerales,funeral,es
25,NOUN,peruanos,peruano,s
26,NOUN,venezolanos,venezolano,s
27,NOUN,cuarteles,cuartel,es
28,NOUN,derechas,derecha,s
29,NOUN,inventos,invento,s
30,NOUN,absurdos,absurdo,s
31,NOUN,tristezas,tristeza,s
32,NOUN,monarcas,monarca,s
33,NOUN,subidas,subida,s
34,NOUN,quesos,queso,s
35,NOUN,pesas,pesa,s
36,NOUN,soledades,soledad,es
37,NOUN,mientes,miente,s
38,NOUN,miserias,miseria,s
39,NOUN,interferencias,interferencia,s
40,NOUN,coherencias,coherencia,s
41,NOUN,posturas,postura,s
42,NOUN,intestinos,intestino,s
43,NOUN,vertidos,vertido,s
44,NOUN,fracasos,fracaso,s
45,NOUN,secuelas,secuela,s
46,NOUN,villas,villa,s
47,NOUN,latas,lata,s
48,NOUN,hielos,hielo,s
49,NOUN,milenios,milenio,s
50,NOUN,embajadas,embajada,s
51,NOUN,capitalistas,capitalista,s
52,NOUN,tambores,tambor,es
53,NOUN,albas,alba,s
54,NOUN,palacios,palacio,s
55,NOUN,cretinos,cretino,s
56,NOUN,princesas,princesa,s
57,NOUN,genios,genio,s
58,NOUN,muñecos,muñeco,s
59,NOUN,desperdicios,desperdicio,s
60,NOUN,chavales,chaval,es
61,NOUN,manadas,manada,s
62,NOUN,nacionalidades,nacionalidad,es
63,NOUN,norteamericanas,norteamericana,s
64,NOUN,ideologías,ideología,s
65,NOUN,futbolistas,futbolista,s
66,NOUN,palmas,palma,s
67,NOUN,editoriales,editorial,es
68,NOUN,encantos,encanto,s
69,NOUN,altares,altar,es
70,NOUN,tutores,tutor,es
71,NOUN,ancianas,anciana,s
72,NOUN,puñetas,puñeta,s
73,NOUN,paraísos,paraíso,s
74,NOUN,galas,gala,s
75,NOUN,teles,tele,s
76,NOUN,relevos,relevo,s
77,NOUN,desgracias,desgracia,s
78,NOUN,soles,sol,es
79,NOUN,octavos,octavo,s
80,NOUN,duelos,duelo,s
81,NOUN,arcas,arca,s
82,NOUN,roces,roce,s
83,NOUN,entrenadores,entrenador,es
84,NOUN,aros,aro,s
85,NOUN,triples,triple,s
86,NOUN,lujos,lujo,s
87,NOUN,aplausos,aplauso,s
88,NOUN,tiradores,tirador,es
89,NOUN,triunfos,triunfo,s
90,NOUN,alegrías,alegría,s
91,NOUN,verbos,verbo,s
92,NOUN,esplendores,esplendor,es
93,NOUN,fatigas,fatiga,s
94,NOUN,climas,clima,s
95,NOUN,universos,universo,s
96,NOUN,matemáticos,matemático,s
97,NOUN,plagas,plaga,s
98,NOUN,tomos,tomo,s
99,NOUN,venenos,veneno,s
100,NOUN,anemias,anemia,s
101,NOUN,cánceres,cáncer,es
102,NOUN,cabellos,cabello,s
103,NOUN,telescopios,telescopio,s
104,NOUN,apariencias,apariencia,s
105,NOUN,sótanos,sótano,s
106,NOUN,congresos,congreso,s
107,NOUN,algoritmos,algoritmo,s
108,NOUN,nidos,nido,s
109,NOUN,responsabilidades,responsabilidad,es
110,NOUN,latitudes,latitud,es
111,NOUN,crías,cría,s
112,NOUN,nieves,nieve,s
113,NOUN,vencedores,vencedor,es
114,NOUN,resistencias,resistencia,s
115,NOUN,hitos,hito,s
116,NOUN,lunas,luna,s
117,NOUN,conservas,conserva,s
118,NOUN,padrinos,padrino,s
119,NOUN,escopetas,escopeta,s
120,NOUN,montajes,montaje,s
121,NOUN,fallecimientos,fallecimiento,s
122,NOUN,iraníes,iraní,es
123,NOUN,estímulos,estímulo,s
124,NOUN,iones,ion,es
125,NOUN,espesores,espesor,es
126,NOUN,orbitales,orbital,es
127,NOUN,carbonos,carbono,s
128,NOUN,films,film,s
129,NOUN,advertencias,advertencia,s
130,NOUN,molinos,molino,s
131,NOUN,doncellas,doncella,s
132,NOUN,tragedias,tragedia,s
133,NOUN,palizas,paliza,s
134,NOUN,guardas,guarda,s
135,NOUN,filósofos,filósofo,s
136,NOUN,estadios,estadio,s
137,NOUN,imperios,imperio,s
138,NOUN,astros,astro,s
139,NOUN,sonrisas,sonrisa,s
140,NOUN,recomendados,recomendado,s
141,NOUN,afortunados,afortunado,s
142,NOUN,tics,tic,s
143,NOUN,fusiles,fusil,es
144,NOUN,cascos,casco,s
145,NOUN,ídolos,ídolo,s
146,NOUN,huelgas,huelga,s
147,NOUN,pioneros,pionero,s
148,NOUN,estanques,estanque,s
149,NOUN,ranas,rana,s
150,NOUN,despidos,despido,s
151,NOUN,encargos,encargo,s
152,NOUN,pasillos,pasillo,s
153,NOUN,respetos,respeto,s
154,NOUN,vaqueros,vaquero,s
155,NOUN,reflejos,reflejo,s
156,NOUN,señorías,señoría,s
157,NOUN,secuestros,secuestro,s
158,NOUN,pronósticos,pronóstico,s
159,NOUN,lavanderías,lavandería,s
160,NOUN,cuellos,cuello,s
161,NOUN,puños,puño,s
162,NOUN,burlas,burla,s
163,NOUN,portales,portal,es
164,NOUN,almohadas,almohada,s
165,NOUN,amaneceres,amanecer,es
166,NOUN,viudas,viuda,s
167,NOUN,casadas,casada,s
168,NOUN,maridos,marido,s
169,NOUN,fantasías,fantasía,s
170,NOUN,desventajas,desventaja,s
171,NOUN,codos,codo,s
172,NOUN,ensaladas,ensalada,s
173,NOUN,camareros,camarero,s
174,NOUN,prospectos,prospecto,s
175,NOUN,guapas,guapa,s
176,NOUN,bahías,bahía,s
177,NOUN,taxis,taxi,s
178,NOUN,vestuarios,vestuario,s
179,NOUN,duchas,ducha,s
180,NOUN,armarios,armario,s
181,NOUN,adictos,adicto,s
182,NOUN,suicidas,suicida,s
183,NOUN,bocas,boca,s
184,NOUN,románticos,romántico,s
185,NOUN,telas,tela,s
186,NOUN,efes,efe,s
187,NOUN,eses,ese,s
188,NOUN,manías,manía,s
189,NOUN,verdades,verdad,es
190,NOUN,frascos,frasco,s
191,NOUN,perfumes,perfume,s
192,NOUN,calores,calor,es
193,NOUN,pintas,pinta,s
194,NOUN,ausencias,ausencia,s
195,NOUN,tobillos,tobillo,s
196,NOUN,sufragios,sufragio,s
197,NOUN,alcaldes,alcalde,s
198,NOUN,ranchos,rancho,s
199,NOUN,sopas,sopa,s
200,NOUN,salsas,salsa,s
201,NOUN,aromas,aroma,s
202,NOUN,cremas,crema,s
203,NOUN,bondades,bondad,es
204,NOUN,escándalos,escándalo,s
205,NOUN,matrículas,matrícula,s
206,NOUN,apoyos,apoyo,s
207,NOUN,asaltos,asalto,s
208,NOUN,zorros,zorro,s
209,NOUN,tributos,tributo,s
210,NOUN,cocinas,cocina,s
211,NOUN,incumplimientos,incumplimiento,s
212,NOUN,fraudes,fraude,s
213,NOUN,mayorías,mayoría,s
214,NOUN,embarques,embarque,s
215,NOUN,recintos,recinto,s
216,NOUN,brotes,brote,s
217,NOUN,conveniencias,conveniencia,s
218,NOUN,entrenamientos,entrenamiento,s
219,NOUN,sensibilidades,sensibilidad,es
220,NOUN,instantes,instante,s
221,NOUN,empates,empate,s
222,NOUN,tableros,tablero,s
223,NOUN,hinchas,hincha,s
224,NOUN,delanteros,delantero,s
225,NOUN,jugadas,jugada,s
226,NOUN,sucesores,sucesor,es
227,NOUN,avales,aval,es
228,NOUN,respaldos,respaldo,s
229,NOUN,planas,plana,s
230,NOUN,simpatías,simpatía,s
231,NOUN,doctrinas,doctrina,s
232,NOUN,hipotecas,hipoteca,s
233,NOUN,oponentes,oponente,s
234,NOUN,bandos,bando,s
235,NOUN,mangas,manga,s
236,NOUN,comisarios,comisario,s
237,NOUN,canchas,cancha,s
238,NOUN,sacos,saco,s
239,NOUN,topes,tope,s
240,NOUN,productoras,productora,s
241,NOUN,alzas,alza,s
242,NOUN,mafias,mafia,s
243,NOUN,granjeros,granjero,s
244,NOUN,mantas,manta,s
245,NOUN,aerolíneas,aerolínea,s
246,NOUN,infraestructuras,infraestructura,s
247,NOUN,inglesas,inglesa,s
248,NOUN,saques,saque,s
249,NOUN,desacuerdos,desacuerdo,s
250,NOUN,casinos,casino,s
251,NOUN,borradores,borrador,es
252,NOUN,diseñadores,diseñador,es
253,NOUN,acompañantes,acompañante,s
254,NOUN,escoltas,escolta,s
255,NOUN,ruegos,ruego,s
256,NOUN,turismos,turismo,s
257,NOUN,polígonos,polígono,s
258,NOUN,viales,vial,es
259,NOUN,embajadores,embajador,es
260,NOUN,supermercados,supermercado,s
261,NOUN,chips,chip,s
262,NOUN,democracias,democracia,s
263,NOUN,supervisores,supervisor,es
264,NOUN,recuentos,recuento,s
265,NOUN,telenovelas,telenovela,s
266,NOUN,polémicas,polémica,s
267,NOUN,cómplices,cómplice,s
268,NOUN,ánimos,ánimo,s
269,NOUN,diplomas,diploma,s
270,NOUN,manuscritos,manuscrito,s
271,NOUN,arenas,arena,s
272,NOUN,incertidumbres,incertidumbre,s
273,NOUN,autonomías,autonomía,s
274,NOUN,aportes,aporte,s
275,NOUN,monitores,monitor,es
276,NOUN,cantos,canto,s
277,NOUN,gargantas,garganta,s
278,NOUN,consensos,consenso,s
279,NOUN,izquierdas,izquierda,s
280,NOUN,acercamientos,acercamiento,s
281,NOUN,fotógrafos,fotógrafo,s
282,NOUN,embargos,embargo,s
283,NOUN,brigadas,brigada,s
284,NOUN,alarmas,alarma,s
285,NOUN,ascensos,ascenso,s
286,NOUN,historiales,historial,es
287,NOUN,terapias,terapia,s
288,NOUN,recibos,recibo,s
289,NOUN,guarderías,guardería,s
290,NOUN,pactos,pacto,s
291,NOUN,cabeceras,cabecera,s
292,NOUN,domicilios,domicilio,s
293,NOUN,camisetas,camiseta,s
294,NOUN,rectas,recta,s
295,NOUN,trayectos,trayecto,s
296,NOUN,psiquiatras,psiquiatra,s
297,NOUN,desfiles,desfile,s
298,NOUN,ratos,rato,s
299,NOUN,carnavales,carnaval,es
300,NOUN,traumas,trauma,s
301,NOUN,estacionamientos,estacionamiento,s
302,NOUN,confianzas,confianza,s
303,NOUN,abandonos,abandono,s
304,NOUN,boxes,box,es
305,NOUN,establecimientos,establecimiento,s
306,NOUN,escrituras,escritura,s
307,NOUN,fianzas,fianza,s
308,NOUN,diligencias,diligencia,s
309,NOUN,giros,giro,s
310,NOUN,déficits,déficit,s
311,NOUN,prisas,prisa,s
312,NOUN,locuras,locura,s
313,NOUN,haciendas,hacienda,s
314,NOUN,crecimientos,crecimiento,s
315,NOUN,trofeos,trofeo,s
316,NOUN,sets,set,s
317,NOUN,despachos,despacho,s
318,NOUN,concejales,concejal,es
319,NOUN,bodegas,bodega,s
320,NOUN,riberas,ribera,s
321,NOUN,corresponsales,corresponsal,es
322,NOUN,beneficiados,beneficiado,s
323,NOUN,incidencias,incidencia,s
324,NOUN,chimeneas,chimenea,s
325,NOUN,saltos,salto,s
326,NOUN,flotas,flota,s
327,NOUN,secretarios,secretario,s
328,NOUN,sirios,sirio,s
329,NOUN,chocolates,chocolate,s
330,NOUN,liderazgos,liderazgo,s
331,NOUN,gasolinas,gasolina,s
332,NOUN,inventarios,inventario,s
333,NOUN,calzados,calzado,s
334,NOUN,menús,menú,s
335,NOUN,comercios,comercio,s
336,NOUN,imposibles,imposible,s
337,NOUN,tractores,tractor,es
338,NOUN,suecos,sueco,s
339,NOUN,lanzamientos,lanzamiento,s
340,NOUN,paros,paro,s
341,NOUN,proximidades,proximidad,es
342,NOUN,choques,choque,s
343,NOUN,legislaturas,legislatura,s
344,NOUN,vanguardias,vanguardia,s
345,NOUN,homenajes,homenaje,s
346,NOUN,vicepresidentes,vicepresidente,s
347,NOUN,calendarios,calendario,s
348,NOUN,promotores,promotor,es
349,NOUN,excelencias,excelencia,s
350,NOUN,compañeras,compañera,s
351,NOUN,iras,ira,s
352,NOUN,cafés,café,s
353,NOUN,masajes,masaje,s
354,NOUN,facultativos,facultativo,s
355,NOUN,comisarías,comisaría,s
356,NOUN,óperas,ópera,s
357,NOUN,himnos,himno,s
358,NOUN,olores,olor,es
359,NOUN,sabores,sabor,es
360,NOUN,sorteos,sorteo,s
361,NOUN,suizas,suiza,s
362,NOUN,clubs,club,s
363,NOUN,dictadores,dictador,es
364,NOUN,salvadores,salvador,es
365,NOUN,músicas,música,s
366,NOUN,motocicletas,motocicleta,s
367,NOUN,cents,cent,s
368,NOUN,vallas,valla,s
369,NOUN,carencias,carencia,s
370,NOUN,invitadas,invitada,s
371,NOUN,triángulos,triángulo,s
372,NOUN,potestades,potestad,es
373,NOUN,cazas,caza,s
374,NOUN,emplazamientos,emplazamiento,s
375,NOUN,balances,balance,s
376,NOUN,unanimidades,unanimidad,es
377,NOUN,manejos,manejo,s
378,NOUN,comandantes,comandante,s
379,NOUN,aparcamientos,aparcamiento,s
380,NOUN,insolvencias,insolvencia,s
381,NOUN,descensos,descenso,s
382,NOUN,chantajes,chantaje,s
383,NOUN,forenses,forense,s
384,NOUN,fracturas,fractura,s
385,NOUN,bises,bis,es
386,NOUN,lenguajes,lenguaje,s
387,NOUN,coros,coro,s
388,NOUN,melodías,melodía,s
389,NOUN,limpiezas,limpieza,s
390,NOUN,motos,moto,s
391,NOUN,lechos,lecho,s
392,NOUN,sombreros,sombrero,s
393,NOUN,reinas,reina,s
394,NOUN,cines,cine,s
395,NOUN,paseos,paseo,s
396,NOUN,esencias,esencia,s
397,NOUN,humos,humo,s
398,NOUN,harinas,harina,s
399,NOUN,corderos,cordero,s
400,NOUN,lemas,lema,s
401,NOUN,élites,élite,s
402,NOUN,caudales,caudal,es
403,NOUN,corales,coral,es
404,NOUN,orquestas,orquesta,s
405,NOUN,payasos,payaso,s
406,NOUN,patadas,patada,s
407,NOUN,hierros,hierro,s
408,NOUN,filmes,filme,s
409,NOUN,misas,misa,s
410,NOUN,ultras,ultra,s
411,NOUN,arrestos,arresto,s
412,NOUN,récords,récord,s
413,NOUN,estrenos,estreno,s
414,NOUN,culpas,culpa,s
415,NOUN,ciudadanas,ciudadana,s
416,NOUN,infartos,infarto,s
417,NOUN,amos,amo,s
418,NOUN,abuelas,abuela,s
419,NOUN,protectores,protector,es
420,NOUN,reporteros,reportero,s
421,NOUN,contiendas,contienda,s
422,NOUN,troncos,tronco,s
423,NOUN,licenciados,licenciado,s
424,NOUN,arbitrajes,arbitraje,s
425,NOUN,micrófonos,micrófono,s
426,NOUN,dictaduras,dictadura,s
427,NOUN,consignas,consigna,s
428,NOUN,furgonetas,furgoneta,s
429,NOUN,barriles,barril,es
430,NOUN,mentalidades,mentalidad,es
431,NOUN,multitudes,multitud,es
432,NOUN,debilidades,debilidad,es
433,NOUN,miedos,miedo,s
434,NOUN,amores,amor,es
435,NOUN,franjas,franja,s
436,NOUN,diagnósticos,diagnóstico,s
437,NOUN,mutuas,mutua,s
438,NOUN,trasplantes,trasplante,s
439,NOUN,llanuras,llanura,s
440,NOUN,lamentos,lamento,s
441,NOUN,consorcios,consorcio,s
442,NOUN,humanidades,humanidad,es
443,NOUN,curas,cura,s
444,NOUN,aperturas,apertura,s
445,NOUN,decretos,decreto,s
446,NOUN,aulas,aula,s
447,NOUN,ambulancias,ambulancia,s
448,NOUN,pertenencias,pertenencia,s
449,NOUN,ascensores,ascensor,es
450,NOUN,vestíbulos,vestíbulo,s
451,NOUN,pólizas,póliza,s
452,NOUN,piscinas,piscina,s
453,NOUN,narcos,narco,s
454,NOUN,cargamentos,cargamento,s
455,NOUN,antenas,antena,s
456,NOUN,focos,foco,s
457,NOUN,rupturas,ruptura,s
458,NOUN,avisos,aviso,s
459,NOUN,disminuidos,disminuido,s
460,NOUN,injusticias,injusticia,s
461,NOUN,fortunas,fortuna,s
462,NOUN,discográficas,discográfica,s
463,NOUN,tangos,tango,s
464,NOUN,ramos,ramo,s
465,NOUN,mezquitas,mezquita,s
466,NOUN,ratios,ratio,s
467,NOUN,ingenios,ingenio,s
468,NOUN,sondas,sonda,s
469,NOUN,basuras,basura,s
470,NOUN,ocupantes,ocupante,s
471,NOUN,farmacias,farmacia,s
472,NOUN,corrales,corral,es
473,NOUN,insuficiencias,insuficiencia,s
474,NOUN,corbatas,corbata,s
475,NOUN,miradas,mirada,s
476,NOUN,presencias,presencia,s
477,NOUN,guionistas,guionista,s
478,NOUN,patos,pato,s
479,NOUN,guitarristas,guitarrista,s
480,NOUN,grandezas,grandeza,s
481,NOUN,abonos,abono,s
482,NOUN,neveras,nevera,s
483,NOUN,procesados,procesado,s
484,NOUN,pinos,pino,s
485,NOUN,caballerías,caballería,s
486,NOUN,estómagos,estómago,s
487,NOUN,acentos,acento,s
488,NOUN,hoyos,hoyo,s
489,NOUN,portadas,portada,s
490,NOUN,divorcios,divorcio,s
491,NOUN,rollos,rollo,s
492,NOUN,buses,bus,es
493,NOUN,suicidios,suicidio,s
494,NOUN,novias,novia,s
495,NOUN,traslados,traslado,s
496,NOUN,sobrinos,sobrino,s
497,NOUN,radares,radar,es
498,NOUN,silencios,silencio,s
499,NOUN,pausas,pausa,s
500,NOUN,reses,res,es
501,NOUN,cocineros,cocinero,s
502,NOUN,contenciosos,contencioso,s
503,NOUN,tocados,tocado,s
504,NOUN,reportajes,reportaje,s
505,NOUN,bóvedas,bóveda,s
506,NOUN,plantes,plante,s
507,NOUN,fugas,fuga,s
508,NOUN,elefantes,elefante,s
509,NOUN,rescates,rescate,s
510,NOUN,garajes,garaje,s
511,NOUN,pantanos,pantano,s
512,NOUN,chaquetas,chaqueta,s
513,NOUN,convoyes,convoy,es
514,NOUN,presentadores,presentador,es
